Geographic Location,Size of company,Commit code frequency,Release cycle frequency,Release code automation,Use Kubernetes in Production,Complexity as a challenge,Lack of training as a challenge,Culture as a challenge,Number of production clusters,Use of CI/CD,Use of stateful applications,Deployment time as important benefit of using Kubernetes,The most important benefit of using K8s
Europe,100-499,Multiple times a day,Daily,Automated,TRUE,FALSE,FALSE,FALSE,11-20,TRUE,TRUE,TRUE,Deployment time
Europe,100-499,A few times a week,Weekly,Hybrid,TRUE,FALSE,FALSE,FALSE,2-5,TRUE,TRUE,TRUE,Deployment time
North America,>5000,A few times a week,Multiple times a day,Hybrid,TRUE,FALSE,FALSE,TRUE,2-5,TRUE,TRUE,TRUE,Cost
Europe,1000-4999,Multiple times a day,Weekly,Hybrid,TRUE,FALSE,FALSE,TRUE,6-10,TRUE,TRUE,TRUE,Deployment time
North America,>5000,A few times a quarter,Ad Hoc,Automated,TRUE,FALSE,TRUE,TRUE,50+,TRUE,TRUE,TRUE,
North America,10-49,Multiple times a day,Daily,Hybrid,TRUE,TRUE,FALSE,FALSE,2-5,TRUE,TRUE,TRUE,Deployment time
Europe,50-99,Multiple times a day,Monthly,Manual,TRUE,FALSE,FALSE,TRUE,2-5,TRUE,TRUE,TRUE,Scalability
Asia,>5000,Multiple times a day,Multiple times a day,Hybrid,TRUE,FALSE,TRUE,FALSE,21-50,TRUE,TRUE,TRUE,Deployment time
North America,100-499,Multiple times a day,Multiple times a day,Automated,TRUE,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,
Europe,<10,A few times a week,Monthly,Automated,TRUE,FALSE,FALSE,TRUE,6-10,TRUE,TRUE,TRUE,Deployment time
Europe,>5000,,,Hybrid,TRUE,TRUE,TRUE,TRUE,1,TRUE,FALSE,TRUE,
North America,>5000,Multiple times a day,Monthly,Automated,TRUE,FALSE,FALSE,TRUE,2-5,TRUE,TRUE,TRUE,Deployment time
North America,1000-4999,A few times a month,Daily,Automated,TRUE,FALSE,FALSE,TRUE,2-5,TRUE,TRUE,TRUE,Deployment time
Europe,<10,Multiple times a day,Daily,Hybrid,TRUE,TRUE,FALSE,TRUE,6-10,TRUE,TRUE,TRUE,Deployment time
Europe,100-499,Multiple times a day,Daily,Automated,TRUE,FALSE,FALSE,TRUE,2-5,TRUE,FALSE,TRUE,Deployment time
Asia,>5000,,,,TRUE,TRUE,TRUE,FALSE,50+,TRUE,TRUE,TRUE,Deployment time
Asia,>5000,A few times a week,Quarterly,Automated,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,TRUE,
Europe,100-499,A few times a month,Monthly,Hybrid,TRUE,FALSE,TRUE,FALSE,11-20,FALSE,TRUE,FALSE,
North America,100-499,A few times a week,Daily,Hybrid,TRUE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,Deployment time
Europe,500-999,A few times a week,Weekly,Automated,TRUE,FALSE,FALSE,TRUE,2-5,TRUE,TRUE,TRUE,Deployment time
Europe,500-999,Multiple times a day,Weekly,Hybrid,TRUE,TRUE,FALSE,TRUE,2-5,FALSE,FALSE,TRUE,Deployment time
Asia,50-99,Multiple times a day,Multiple times a day,Automated,TRUE,FALSE,FALSE,FALSE,2-5,TRUE,TRUE,TRUE,Cost
Europe,1000-4999,Multiple times a day,Monthly,Hybrid,TRUE,TRUE,TRUE,TRUE,2-5,TRUE,FALSE,TRUE,Scalability
North America,100-499,Multiple times a day,Daily,Automated,TRUE,FALSE,FALSE,FALSE,2-5,TRUE,TRUE,FALSE,Scalability
Europe,50-99,Multiple times a day,Monthly,Hybrid,TRUE,TRUE,TRUE,TRUE,1,TRUE,FALSE,FALSE,
Asia,<10,Multiple times a day,Monthly,Manual,TRUE,FALSE,TRUE,FALSE,2-5,FALSE,TRUE,FALSE,Cost
Europe,>5000,A few times a week,Weekly,Manual,TRUE,TRUE,FALSE,TRUE,2-5,FALSE,TRUE,FALSE,
North America,1000-4999,Multiple times a day,Multiple times a day,Automated,TRUE,FALSE,FALSE,FALSE,6-10,TRUE,TRUE,TRUE,Deployment time
North America,<10,Multiple times a day,Daily,Hybrid,TRUE,FALSE,FALSE,TRUE,2-5,TRUE,TRUE,TRUE,Scalability
North America,100-499,Multiple times a day,Multiple times a day,Automated,TRUE,FALSE,FALSE,FALSE,11-20,TRUE,TRUE,TRUE,Deployment time
Europe,500-999,Multiple times a day,Monthly,Hybrid,TRUE,FALSE,FALSE,FALSE,6-10,TRUE,TRUE,TRUE,Deployment time
South and Central America,50-99,A few times a month,Ad Hoc,Hybrid,TRUE,TRUE,FALSE,FALSE,2-5,FALSE,FALSE,TRUE,Deployment time
Asia,>5000,Multiple times a day,Daily,Automated,TRUE,TRUE,FALSE,FALSE,21-50,TRUE,TRUE,TRUE,Deployment time
North America,>5000,A few times a week,Weekly,Automated,TRUE,TRUE,FALSE,FALSE,11-20,TRUE,TRUE,TRUE,Deployment time
Europe,<10,Multiple times a day,Multiple times a day,Automated,TRUE,FALSE,FALSE,TRUE,2-5,TRUE,TRUE,TRUE,Deployment time
Europe,10-49,A few times a week,Daily,Hybrid,TRUE,FALSE,FALSE,FALSE,2-5,TRUE,TRUE,TRUE,Deployment time
Asia,500-999,A few times a week,Monthly,Hybrid,TRUE,FALSE,FALSE,FALSE,2-5,TRUE,TRUE,TRUE,Deployment time
North America,>5000,Multiple times a day,Multiple times a day,Hybrid,TRUE,FALSE,FALSE,TRUE,21-50,TRUE,TRUE,TRUE,Deployment time
Africa,500-999,Multiple times a day,Monthly,Hybrid,TRUE,FALSE,FALSE,TRUE,2-5,TRUE,TRUE,TRUE,
North America,1000-4999,A few times a week,Ad Hoc,Manual,TRUE,FALSE,FALSE,TRUE,6-10,FALSE,TRUE,TRUE,
Europe,100-499,Multiple times a day,Multiple times a day,Hybrid,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,FALSE,Scalability
Europe,10-49,A few times a week,Monthly,Hybrid,TRUE,TRUE,FALSE,FALSE,2-5,TRUE,TRUE,FALSE,Scalability
Europe,100-499,Multiple times a day,Multiple times a day,Hybrid,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,
North America,<10,A few times a quarter,Quarterly,Hybrid,TRUE,TRUE,TRUE,TRUE,2-5,FALSE,FALSE,TRUE,Deployment time
Europe,>5000,Multiple times a day,Monthly,Hybrid,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,
Europe,1000-4999,Multiple times a day,Multiple times a day,Hybrid,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,Deployment time
Asia,>5000,Multiple times a day,Weekly,Automated,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,TRUE,
Europe,>5000,Multiple times a day,Quarterly,,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,Portability
North America,>5000,A few times a week,Monthly,Automated,TRUE,TRUE,FALSE,FALSE,11-20,TRUE,TRUE,FALSE,Scalability
North America,>5000,Multiple times a day,Daily,Automated,TRUE,FALSE,FALSE,TRUE,2-5,TRUE,TRUE,TRUE,Deployment time
Europe,10-49,Multiple times a day,Daily,Automated,TRUE,FALSE,FALSE,FALSE,11-20,FALSE,TRUE,TRUE,
North America,10-49,Multiple times a day,Weekly,Automated,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,Availability
North America,100-499,A few times a week,Monthly,Hybrid,TRUE,TRUE,TRUE,TRUE,1,TRUE,FALSE,FALSE,Portability
North America,1000-4999,Multiple times a day,Weekly,Hybrid,TRUE,FALSE,FALSE,TRUE,1,TRUE,TRUE,FALSE,
Asia,100-499,Multiple times a day,Multiple times a day,Automated,TRUE,TRUE,TRUE,TRUE,2-5,TRUE,TRUE,FALSE,Cost
Europe,>5000,A few times a month,Weekly,Hybrid,TRUE,TRUE,FALSE,TRUE,11-20,TRUE,TRUE,FALSE,Scalability
Europe,>5000,Multiple times a day,Weekly,Automated,TRUE,TRUE,FALSE,FALSE,6-10,TRUE,FALSE,TRUE,
Europe,>5000,Multiple times a day,Multiple times a day,Hybrid,TRUE,FALSE,FALSE,TRUE,50+,TRUE,TRUE,TRUE,Deployment time
Europe,>5000,A few times a week,Multiple times a day,Hybrid,TRUE,TRUE,TRUE,TRUE,2-5,TRUE,TRUE,TRUE,
North America,>5000,Multiple times a day,Monthly,Automated,TRUE,TRUE,FALSE,FALSE,21-50,TRUE,TRUE,TRUE,
North America,100-499,Multiple times a day,Multiple times a day,Manual,TRUE,TRUE,TRUE,TRUE,11-20,TRUE,FALSE,FALSE,
Europe,100-499,A few times a week,Weekly,Automated,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,
North America,50-99,Multiple times a day,Monthly,Manual,TRUE,TRUE,TRUE,FALSE,2-5,TRUE,TRUE,FALSE,
North America,>5000,Multiple times a day,Weekly,Automated,TRUE,TRUE,FALSE,FALSE,50+,TRUE,TRUE,FALSE,
Asia,100-499,Multiple times a day,Multiple times a day,Automated,TRUE,FALSE,FALSE,TRUE,1,TRUE,TRUE,FALSE,Cost
North America,>5000,A few times a week,Weekly,Hybrid,TRUE,TRUE,TRUE,TRUE,,TRUE,FALSE,FALSE,Productivity
North America,500-999,A few times a week,Weekly,Automated,TRUE,TRUE,FALSE,FALSE,2-5,TRUE,TRUE,FALSE,Scalability
North America,>5000,A few times a week,Weekly,Automated,TRUE,TRUE,TRUE,FALSE,21-50,TRUE,TRUE,TRUE,Deployment time
North America,1000-4999,A few times a week,Daily,Hybrid,TRUE,FALSE,TRUE,FALSE,2-5,TRUE,FALSE,TRUE,
North America,>5000,Multiple times a day,Monthly,Hybrid,TRUE,TRUE,TRUE,TRUE,11-20,FALSE,TRUE,TRUE,Deployment time
North America,>5000,Multiple times a day,Monthly,Automated,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,TRUE,
Europe,>5000,Multiple times a day,Multiple times a day,Hybrid,TRUE,TRUE,FALSE,FALSE,1,TRUE,TRUE,TRUE,Deployment time
Europe,>5000,Multiple times a day,Daily,Hybrid,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,TRUE,
North America,50-99,A few times a quarter,Quarterly,Hybrid,TRUE,FALSE,FALSE,FALSE,6-10,TRUE,TRUE,FALSE,
North America,10-49,Multiple times a day,Weekly,Manual,TRUE,TRUE,FALSE,FALSE,1,TRUE,FALSE,TRUE,Deployment time
North America,10-49,Multiple times a day,Weekly,Hybrid,TRUE,FALSE,FALSE,FALSE,2-5,TRUE,TRUE,FALSE,Scalability
Europe,>5000,Multiple times a day,Ad Hoc,Automated,TRUE,TRUE,FALSE,FALSE,6-10,TRUE,TRUE,TRUE,Deployment time
North America,>5000,Multiple times a day,Weekly,Hybrid,TRUE,TRUE,TRUE,TRUE,50+,TRUE,TRUE,TRUE,Scalability
North America,>5000,Multiple times a day,Daily,Automated,TRUE,FALSE,FALSE,TRUE,11-20,TRUE,TRUE,TRUE,Deployment time
North America,>5000,Multiple times a day,Daily,Automated,TRUE,TRUE,FALSE,FALSE,50+,TRUE,TRUE,TRUE,
North America,>5000,Multiple times a day,Multiple times a day,Hybrid,TRUE,FALSE,TRUE,TRUE,11-20,FALSE,TRUE,TRUE,Deployment time
Europe,100-499,Multiple times a day,Multiple times a day,Automated,TRUE,TRUE,FALSE,FALSE,1,TRUE,TRUE,TRUE,Deployment time
North America,10-49,A few times a month,Monthly,Manual,TRUE,FALSE,FALSE,FALSE,2-5,FALSE,TRUE,TRUE,Deployment time
Europe,<10,Multiple times a day,Multiple times a day,Automated,TRUE,FALSE,TRUE,TRUE,21-50,TRUE,TRUE,TRUE,
Europe,1000-4999,Multiple times a day,Daily,Hybrid,TRUE,FALSE,TRUE,TRUE,2-5,TRUE,FALSE,TRUE,Deployment time
Asia,100-499,Multiple times a day,Daily,Hybrid,TRUE,FALSE,FALSE,FALSE,2-5,TRUE,FALSE,TRUE,Deployment time
Asia,100-499,Multiple times a day,Monthly,Hybrid,TRUE,TRUE,TRUE,FALSE,2-5,TRUE,TRUE,TRUE,Deployment time
North America,10-49,Multiple times a day,Ad Hoc,Manual,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,Deployment time
Asia,<10,Multiple times a day,Daily,Automated,TRUE,FALSE,TRUE,FALSE,2-5,TRUE,TRUE,TRUE,Deployment time
Asia,100-499,A few times a week,Monthly,Automated,TRUE,FALSE,FALSE,FALSE,21-50,TRUE,TRUE,TRUE,
Europe,100-499,Multiple times a day,Daily,Manual,TRUE,FALSE,TRUE,TRUE,1,TRUE,FALSE,TRUE,
North America,10-49,A few times a week,Ad Hoc,Automated,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,TRUE,
Europe,50-99,Multiple times a day,Weekly,Automated,TRUE,FALSE,FALSE,FALSE,2-5,FALSE,TRUE,FALSE,
North America,>5000,Multiple times a day,Weekly,Automated,TRUE,TRUE,TRUE,TRUE,50+,TRUE,TRUE,TRUE,Deployment time
North America,100-499,Multiple times a day,Ad Hoc,Hybrid,TRUE,TRUE,TRUE,FALSE,21-50,FALSE,FALSE,TRUE,
Europe,10-49,A few times a month,,Hybrid,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,
North America,>5000,A few times a month,Daily,Hybrid,TRUE,FALSE,TRUE,TRUE,11-20,TRUE,FALSE,TRUE,Deployment time
North America,100-499,A few times a week,Weekly,Manual,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,Deployment time
North America,>5000,Multiple times a day,Ad Hoc,Manual,TRUE,FALSE,TRUE,TRUE,50+,TRUE,TRUE,TRUE,Deployment time
Europe,100-499,Multiple times a day,Multiple times a day,Manual,TRUE,TRUE,FALSE,TRUE,11-20,TRUE,TRUE,TRUE,Deployment time
North America,100-499,Multiple times a day,Multiple times a day,Hybrid,TRUE,FALSE,FALSE,FALSE,6-10,TRUE,TRUE,TRUE,
North America,10-49,Multiple times a day,Weekly,Hybrid,TRUE,TRUE,FALSE,FALSE,1,TRUE,TRUE,TRUE,Scalability
North America,100-499,Multiple times a day,Weekly,Hybrid,TRUE,FALSE,TRUE,FALSE,6-10,TRUE,TRUE,FALSE,Availability
Europe,<10,A few times a week,Monthly,Automated,TRUE,FALSE,FALSE,TRUE,,FALSE,TRUE,FALSE,
Europe,<10,,,Hybrid,TRUE,TRUE,FALSE,FALSE,6-10,TRUE,TRUE,FALSE,Portability
Europe,500-999,Multiple times a day,Multiple times a day,Hybrid,TRUE,FALSE,TRUE,TRUE,2-5,FALSE,TRUE,TRUE,Deployment time
North America,100-499,Multiple times a day,Multiple times a day,Automated,TRUE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,Scalability
Europe,<10,A few times a week,Weekly,Hybrid,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,Portability
Europe,100-499,A few times a week,Ad Hoc,Hybrid,TRUE,TRUE,FALSE,TRUE,1,TRUE,TRUE,FALSE,Scalability
Europe,500-999,Multiple times a day,Weekly,Automated,TRUE,FALSE,FALSE,TRUE,2-5,TRUE,TRUE,FALSE,Availability
Europe,100-499,Multiple times a day,Daily,Hybrid,TRUE,FALSE,FALSE,TRUE,2-5,TRUE,TRUE,TRUE,Deployment time
Europe,>5000,A few times a week,Daily,Automated,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,
Europe,10-49,Multiple times a day,Multiple times a day,Hybrid,TRUE,FALSE,FALSE,FALSE,21-50,TRUE,FALSE,TRUE,Deployment time
Asia,500-999,A few times a week,Monthly,Automated,TRUE,TRUE,FALSE,FALSE,11-20,FALSE,TRUE,TRUE,
Europe,1000-4999,Multiple times a day,Multiple times a day,Automated,TRUE,FALSE,FALSE,FALSE,11-20,TRUE,TRUE,TRUE,Scalability
Europe,500-999,A few times a week,Daily,Automated,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,
Europe,100-499,Multiple times a day,Weekly,Automated,TRUE,TRUE,TRUE,TRUE,6-10,TRUE,TRUE,TRUE,Deployment time
Europe,10-49,,Weekly,Automated,TRUE,TRUE,FALSE,FALSE,2-5,TRUE,TRUE,TRUE,Deployment time
Europe,10-49,A few times a week,Ad Hoc,Manual,TRUE,FALSE,FALSE,FALSE,2-5,TRUE,TRUE,TRUE,
Europe,1000-4999,Multiple times a day,,Hybrid,TRUE,TRUE,FALSE,FALSE,2-5,FALSE,TRUE,FALSE,
Asia,>5000,A few times a week,Quarterly,Hybrid,TRUE,TRUE,FALSE,TRUE,2-5,TRUE,TRUE,TRUE,Deployment time
North America,>5000,,Quarterly,Hybrid,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,Availability
North America,>5000,Multiple times a day,Multiple times a day,Automated,TRUE,TRUE,FALSE,FALSE,50+,TRUE,TRUE,FALSE,Scalability
Asia,100-499,A few times a week,Multiple times a day,Hybrid,TRUE,TRUE,FALSE,FALSE,2-5,TRUE,TRUE,FALSE,Scalability
Asia,50-99,A few times a week,Weekly,Hybrid,TRUE,TRUE,FALSE,FALSE,2-5,TRUE,FALSE,FALSE,Scalability
Asia,>5000,Multiple times a day,Daily,Hybrid,TRUE,TRUE,FALSE,TRUE,6-10,TRUE,TRUE,FALSE,
Asia,>5000,Multiple times a day,Monthly,Hybrid,TRUE,TRUE,FALSE,FALSE,2-5,TRUE,TRUE,TRUE,
Asia,<10,Multiple times a day,Weekly,Manual,TRUE,FALSE,FALSE,TRUE,2-5,TRUE,FALSE,TRUE,
North America,50-99,Multiple times a day,Weekly,Automated,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,
North America,1000-4999,Multiple times a day,Ad Hoc,Hybrid,TRUE,FALSE,TRUE,TRUE,2-5,TRUE,TRUE,FALSE,
North America,1000-4999,A few times a week,Weekly,Manual,TRUE,TRUE,FALSE,FALSE,1,TRUE,FALSE,TRUE,Deployment time
North America,>5000,A few times a week,Ad Hoc,Hybrid,TRUE,TRUE,TRUE,TRUE,50+,TRUE,TRUE,TRUE,
Asia,500-999,Multiple times a day,Multiple times a day,Hybrid,TRUE,TRUE,TRUE,FALSE,,FALSE,TRUE,FALSE,
Europe,1000-4999,Multiple times a day,Weekly,Hybrid,TRUE,FALSE,FALSE,TRUE,11-20,TRUE,TRUE,TRUE,Deployment time
Asia,500-999,Multiple times a day,Quarterly,Hybrid,TRUE,FALSE,FALSE,TRUE,,FALSE,TRUE,TRUE,
North America,10-49,Multiple times a day,Daily,Automated,TRUE,TRUE,FALSE,FALSE,6-10,TRUE,FALSE,TRUE,Deployment time
South and Central America,50-99,Multiple times a day,Monthly,Hybrid,TRUE,FALSE,FALSE,TRUE,2-5,TRUE,FALSE,TRUE,Deployment time
South and Central America,500-999,Multiple times a day,Daily,Automated,TRUE,FALSE,FALSE,TRUE,2-5,TRUE,FALSE,TRUE,Deployment time
Europe,50-99,Multiple times a day,Monthly,Manual,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,
North America,10-49,Multiple times a day,Multiple times a day,Automated,TRUE,FALSE,FALSE,FALSE,2-5,TRUE,FALSE,TRUE,Deployment time
North America,1000-4999,A few times a month,Ad Hoc,Hybrid,TRUE,FALSE,FALSE,FALSE,2-5,FALSE,TRUE,TRUE,Scalability
Europe,500-999,A few times a week,Multiple times a day,Automated,TRUE,FALSE,FALSE,FALSE,6-10,TRUE,TRUE,TRUE,Deployment time
Australia and Oceania,50-99,Multiple times a day,Multiple times a day,Hybrid,TRUE,FALSE,FALSE,TRUE,6-10,TRUE,TRUE,TRUE,Deployment time
Europe,>5000,A few times a week,Multiple times a day,Automated,TRUE,FALSE,FALSE,TRUE,2-5,TRUE,FALSE,TRUE,Cost
Europe,50-99,A few times a week,,Hybrid,TRUE,TRUE,FALSE,FALSE,2-5,FALSE,TRUE,TRUE,Deployment time
Asia,>5000,Multiple times a day,,Automated,TRUE,FALSE,FALSE,FALSE,50+,TRUE,TRUE,TRUE,Cost
Europe,1000-4999,Multiple times a day,Weekly,Automated,TRUE,FALSE,FALSE,FALSE,6-10,TRUE,TRUE,TRUE,Deployment time
Asia,>5000,A few times a week,Weekly,Automated,TRUE,TRUE,FALSE,FALSE,6-10,TRUE,TRUE,TRUE,Deployment time
Europe,<10,Multiple times a day,Multiple times a day,Hybrid,TRUE,TRUE,FALSE,FALSE,2-5,FALSE,TRUE,TRUE,Deployment time
North America,10-49,Multiple times a day,Monthly,Hybrid,TRUE,FALSE,FALSE,TRUE,2-5,TRUE,TRUE,TRUE,
South and Central America,>5000,,Ad Hoc,Manual,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,
North America,10-49,Multiple times a day,Multiple times a day,Hybrid,TRUE,TRUE,FALSE,FALSE,2-5,TRUE,TRUE,FALSE,Scalability
North America,100-499,A few times a week,Weekly,Automated,TRUE,TRUE,FALSE,TRUE,1,TRUE,TRUE,FALSE,
Europe,>5000,Multiple times a day,Multiple times a day,Automated,TRUE,FALSE,TRUE,TRUE,,TRUE,TRUE,TRUE,Deployment time
Europe,500-999,Multiple times a day,Weekly,Hybrid,TRUE,FALSE,TRUE,TRUE,2-5,TRUE,TRUE,TRUE,Deployment time
North America,1000-4999,Multiple times a day,Multiple times a day,Automated,TRUE,FALSE,TRUE,FALSE,11-20,TRUE,TRUE,TRUE,Cost
Europe,100-499,Multiple times a day,Weekly,Automated,TRUE,FALSE,FALSE,FALSE,2-5,TRUE,TRUE,TRUE,Deployment time
North America,10-49,Multiple times a day,Weekly,Hybrid,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,Deployment time
North America,100-499,A few times a week,Daily,Hybrid,TRUE,TRUE,FALSE,FALSE,1,TRUE,TRUE,TRUE,Scalability
Europe,100-499,Multiple times a day,Weekly,Hybrid,TRUE,FALSE,FALSE,FALSE,2-5,TRUE,TRUE,FALSE,
Europe,100-499,Multiple times a day,Weekly,Hybrid,TRUE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,
South and Central America,>5000,A few times a week,Weekly,Hybrid,TRUE,TRUE,TRUE,TRUE,2-5,TRUE,TRUE,TRUE,Deployment time
North America,>5000,A few times a week,Weekly,Hybrid,TRUE,FALSE,FALSE,TRUE,2-5,FALSE,TRUE,TRUE,
Europe,1000-4999,Multiple times a day,Quarterly,Manual,TRUE,FALSE,FALSE,FALSE,2-5,TRUE,FALSE,TRUE,Deployment time
South and Central America,500-999,Multiple times a day,,Hybrid,TRUE,TRUE,FALSE,TRUE,1,TRUE,FALSE,TRUE,Scalability
Asia,50-99,A few times a week,Monthly,Manual,TRUE,TRUE,FALSE,FALSE,2-5,FALSE,FALSE,TRUE,Availability
Asia,50-99,A few times a week,Monthly,Manual,TRUE,TRUE,FALSE,FALSE,2-5,FALSE,FALSE,TRUE,Deployment time
Europe,100-499,Multiple times a day,Multiple times a day,Hybrid,TRUE,FALSE,FALSE,TRUE,1,TRUE,FALSE,TRUE,Deployment time
Europe,>5000,A few times a week,Multiple times a day,Automated,TRUE,TRUE,FALSE,FALSE,6-10,FALSE,TRUE,TRUE,
North America,100-499,Multiple times a day,Multiple times a day,Hybrid,TRUE,FALSE,FALSE,TRUE,6-10,TRUE,TRUE,TRUE,Deployment time
Europe,>5000,A few times a quarter,Weekly,Hybrid,TRUE,TRUE,FALSE,FALSE,2-5,TRUE,TRUE,TRUE,Deployment time
North America,>5000,Multiple times a day,Ad Hoc,Automated,TRUE,TRUE,TRUE,TRUE,6-10,TRUE,TRUE,TRUE,Scalability
Europe,100-499,Multiple times a day,Multiple times a day,Automated,TRUE,FALSE,FALSE,FALSE,11-20,TRUE,TRUE,TRUE,Deployment time
Asia,50-99,Multiple times a day,Monthly,Manual,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,
Asia,>5000,A few times a month,Quarterly,Automated,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,
Europe,100-499,A few times a week,Quarterly,Hybrid,TRUE,FALSE,TRUE,TRUE,11-20,TRUE,FALSE,TRUE,Deployment time
Europe,50-99,Multiple times a day,Weekly,Automated,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,Deployment time
Asia,50-99,A few times a month,Monthly,Hybrid,TRUE,FALSE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Deployment time
Asia,50-99,A few times a week,Monthly,Hybrid,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,TRUE,
Europe,1000-4999,Multiple times a day,Multiple times a day,Automated,TRUE,TRUE,TRUE,FALSE,50+,TRUE,TRUE,TRUE,Deployment time
Europe,100-499,Multiple times a day,Multiple times a day,Hybrid,TRUE,FALSE,TRUE,FALSE,,FALSE,TRUE,TRUE,
North America,100-499,Multiple times a day,Quarterly,Hybrid,TRUE,TRUE,FALSE,TRUE,,TRUE,FALSE,TRUE,Scalability
Europe,10-49,A few times a week,Weekly,Automated,TRUE,FALSE,FALSE,FALSE,21-50,FALSE,TRUE,FALSE,
Asia,>5000,Multiple times a day,Daily,Hybrid,TRUE,TRUE,TRUE,TRUE,11-20,TRUE,TRUE,TRUE,Deployment time
Asia,>5000,A few times a week,Weekly,Hybrid,TRUE,FALSE,FALSE,FALSE,11-20,TRUE,TRUE,TRUE,Deployment time
Europe,500-999,Multiple times a day,Weekly,Hybrid,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,Deployment time
Asia,1000-4999,Multiple times a day,Weekly,Hybrid,TRUE,FALSE,TRUE,FALSE,,TRUE,TRUE,TRUE,
Europe,100-499,Multiple times a day,Daily,Hybrid,TRUE,FALSE,TRUE,TRUE,11-20,TRUE,TRUE,FALSE,
North America,50-99,Multiple times a day,Daily,Automated,TRUE,TRUE,TRUE,TRUE,2-5,TRUE,TRUE,TRUE,Deployment time
South and Central America,>5000,A few times a week,Daily,Automated,TRUE,FALSE,FALSE,FALSE,11-20,TRUE,TRUE,TRUE,Deployment time
Europe,<10,Multiple times a day,Multiple times a day,Hybrid,TRUE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,Deployment time
Europe,10-49,A few times a month,Weekly,Automated,TRUE,FALSE,FALSE,FALSE,6-10,TRUE,TRUE,TRUE,
Asia,>5000,A few times a quarter,Multiple times a day,Hybrid,TRUE,FALSE,TRUE,FALSE,11-20,TRUE,TRUE,TRUE,Scalability
Europe,100-499,Multiple times a day,Weekly,Hybrid,TRUE,TRUE,TRUE,FALSE,2-5,TRUE,TRUE,TRUE,Deployment time
Asia,500-999,Multiple times a day,Daily,Automated,TRUE,TRUE,FALSE,FALSE,6-10,TRUE,TRUE,TRUE,
Europe,10-49,A few times a week,Multiple times a day,Automated,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,
Asia,100-499,Multiple times a day,Weekly,Hybrid,TRUE,FALSE,TRUE,TRUE,1,TRUE,FALSE,TRUE,Deployment time
North America,>5000,Multiple times a day,Weekly,Automated,TRUE,FALSE,TRUE,TRUE,11-20,TRUE,TRUE,TRUE,Scalability
Asia,50-99,Multiple times a day,Weekly,Automated,TRUE,TRUE,TRUE,FALSE,2-5,TRUE,FALSE,TRUE,Deployment time
South and Central America,<10,A few times a week,Weekly,Automated,TRUE,TRUE,FALSE,TRUE,1,TRUE,FALSE,TRUE,
Australia and Oceania,>5000,Multiple times a day,Weekly,Manual,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,Scalability
North America,>5000,A few times a month,Weekly,Automated,TRUE,FALSE,FALSE,TRUE,50+,TRUE,TRUE,TRUE,Deployment time
North America,50-99,Multiple times a day,Multiple times a day,Automated,TRUE,FALSE,FALSE,FALSE,2-5,TRUE,TRUE,TRUE,Deployment time
North America,>5000,Multiple times a day,Weekly,Automated,TRUE,FALSE,FALSE,TRUE,50+,TRUE,TRUE,TRUE,Deployment time
